ISIN,TICKER,등급,섹터,Credit_Delta_$per bp,sigma_bp_3Y,sigma출처,실제스프레드리스크_1시그마_$,실제스프레드리스크_95%VaR_$,실제스프레드리스크_99%VaR_$
US302154EB15,EIBKOR,AA-,비금융,-225.7745655,2.108,individual_cache,-476.0,-783.0,-1109.0
US302154EB15,EIBKOR,AA-,비금융,-225.7745655,2.108,individual_cache,-476.0,-783.0,-1109.0
US404280BT50,HSBC,A-,금융,-1812.2941524,2.979,individual_cache,-5399.0,-8881.0,-12579.0
US404280CC17,HSBC,A-,금융,-1283.65616205,2.757,individual_cache,-3539.0,-5822.0,-8246.0
US404280CF48,HSBC,A,금융,-1661.66574375,2.518,individual_cache,-4184.0,-6883.0,-9749.0
US404280EG03,HSBC,A-,금융,-5070.69777564,2.187,individual_cache,-11090.0,-18242.0,-25839.0
US404280EN53,HSBC,A-,금융,-606.4214444800001,2.439,individual_cache,-1479.0,-2433.0,-3446.0
US404280ER67,HSBC,A-,금융,-2577.7241388800003,2.281,individual_cache,-5880.0,-9672.0,-13700.0
US404280ER67,HSBC,A-,금융,-1611.0775868,2.281,individual_cache,-3675.0,-6045.0,-8562.0
US404280EW52,HSBC,A-,금융,-3406.9603182000005,1.939,individual_cache,-6606.0,-10867.0,-15392.0
US404280EW52,HSBC,A-,금융,-1703.4801591000003,1.939,individual_cache,-3303.0,-5434.0,-7696.0
US44891CBL63,HYNMTR,A-,비금융,-670.0901067,2.767,individual_cache,-1854.0,-3050.0,-4320.0
US44891CBL63,HYNMTR,A-,비금융,-1675.22526675,2.767,individual_cache,-4635.0,-7625.0,-10800.0
US44891CBL63,HYNMTR,A-,비금융,-1172.6576867249998,2.767,individual_cache,-3245.0,-5338.0,-7560.0
US44891CCE12,HYNMTR,A-,비금융,-429.261838889,2.452,individual_cache,-1053.0,-1731.0,-2452.0
US44891CCE12,HYNMTR,A-,비금융,-891.5438192309999,2.452,individual_cache,-2186.0,-3596.0,-5094.0
US44891CCE12,HYNMTR,A-,비금융,-3632.2155598299996,2.452,individual_cache,-8906.0,-14651.0,-20751.0
US44891CCJ09,HYNMTR,A-,비금융,-708.078021,2.571,individual_cache,-1820.0,-2995.0,-4242.0
US44891CCJ09,HYNMTR,A-,비금융,-1770.1950525000002,2.571,individual_cache,-4551.0,-7487.0,-10604.0
US44891CCJ09,HYNMTR,A-,비금융,-424.84681259999996,2.571,individual_cache,-1092.0,-1797.0,-2545.0
US44891CCP68,HYNMTR,A-,비금융,-886.5210351360001,2.536,individual_cache,-2248.0,-3698.0,-5238.0
US44891CCP68,HYNMTR,A-,비금융,-1846.9188232000001,2.536,individual_cache,-4684.0,-7705.0,-10913.0
US44891CDB63,HYNMTR,A-,비금융,-919.8252704,2.403,individual_cache,-2210.0,-3636.0,-5150.0
US44891CDD20,HYNMTR,A-,비금융,-2140.86491,1.828,individual_cache,-3914.0,-6438.0,-9118.0
US44891CDH34,HYNMTR,A-,비금융,-1518.082104,1.813,individual_cache,-2752.0,-4528.0,-6413.0
US44891CDH34,HYNMTR,A-,비금융,-867.4754879999999,1.813,individual_cache,-1573.0,-2587.0,-3664.0
US44891CDL46,HYNMTR,A-,비금융,-1413.0905124,2.022,individual_cache,-2857.0,-4700.0,-6657.0
US44891CDM29,HYNMTR,A-,비금융,-3153.3001477000003,2.287,individual_cache,-7212.0,-11863.0,-16803.0
US44891CDM29,HYNMTR,A-,비금융,-3153.3001477000003,2.287,individual_cache,-7212.0,-11863.0,-16803.0
US44891CDM29,HYNMTR,A-,비금융,-630.66002954,2.287,individual_cache,-1442.0,-2373.0,-3361.0
US44891CDM29,HYNMTR,A-,비금융,-1261.32005908,2.287,individual_cache,-2885.0,-4745.0,-6721.0
US44891CDM29,HYNMTR,A-,비금융,-630.66002954,2.287,individual_cache,-1442.0,-2373.0,-3361.0
US44891CDM29,HYNMTR,A-,비금융,-1576.6500738500001,2.287,individual_cache,-3606.0,-5932.0,-8402.0
US44891CDM29,HYNMTR,A-,비금융,-1639.7160768039998,2.287,individual_cache,-3750.0,-6169.0,-8738.0
